file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,afe02803,Viki Shi,2025-04-07,17:38:29,-07:00,2025-04-07T17:38:29-07:00,0,5
style.css,2,css,6bb6acb2,Viki Shi,2025-04-13,14:04:22,-07:00,2025-04-13T14:04:22-07:00,0,34
style.css,3,css,6bb6acb2,Viki Shi,2025-04-13,14:04:22,-07:00,2025-04-13T14:04:22-07:00,0,33
style.css,4,css,e7632db5,Viki Shi,2025-04-13,14:27:02,-07:00,2025-04-13T14:27:02-07:00,0,24
style.css,5,css,6bb6acb2,Viki Shi,2025-04-13,14:04:22,-07:00,2025-04-13T14:04:22-07:00,0,0
style.css,6,css,afe02803,Viki Shi,2025-04-07,17:38:29,-07:00,2025-04-07T17:38:29-07:00,0,0
style.css,7,css,fa9a4e92,Viki Shi,2025-04-02,11:18:37,-07:00,2025-04-02T11:18:37-07:00,0,5
style.css,8,css,abff608e,Viki Shi,2025-04-13,14:39:24,-07:00,2025-04-13T14:39:24-07:00,0,24
style.css,9,css,abff608e,Viki Shi,2025-04-13,14:39:24,-07:00,2025-04-13T14:39:24-07:00,0,16
style.css,10,css,abff608e,Viki Shi,2025-04-13,14:39:24,-07:00,2025-04-13T14:39:24-07:00,0,19
style.css,11,css,abff608e,Viki Shi,2025-04-13,14:39:24,-07:00,2025-04-13T14:39:24-07:00,0,13
style.css,12,css,abff608e,Viki Shi,2025-04-13,14:39:24,-07:00,2025-04-13T14:39:24-07:00,0,0
style.css,13,css,abff608e,Viki Shi,2025-04-13,14:39:24,-07:00,2025-04-13T14:39:24-07:00,0,0
style.css,14,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,10
style.css,15,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,12
style.css,16,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,12
style.css,17,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,18,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,19,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,19
style.css,20,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,18
style.css,21,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,9
style.css,22,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,11
style.css,23,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,16
style.css,24,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,20
style.css,25,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,26,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,27,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,4
style.css,28,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,13
style.css,29,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,19
style.css,30,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,40
style.css,31,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,44
style.css,32,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,33,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,34,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,6
style.css,35,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,7
style.css,36,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,21
style.css,37,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,14
style.css,38,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,18
style.css,39,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,14
style.css,40,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,41,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,42,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,14
style.css,43,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,46
style.css,44,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,21
style.css,45,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,46,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,47,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,12
style.css,48,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,46
style.css,49,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,21
style.css,50,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,70
style.css,51,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,52,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,53,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,5
style.css,54,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,13
style.css,55,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,31
style.css,56,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,10
style.css,57,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,16
style.css,58,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,19
style.css,59,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,18
style.css,60,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,61,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,62,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,6
style.css,63,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,13
style.css,64,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,30
